Имя файла 	 Обнаружено дефектов 	 Общая площадь дефектов,кв.см. 	 Средняя площадь дефекта,кв.см. 	Общая длина дефектов	 Настройки HSV нижние - HSV верхние 
Asha_27-10-23_Uch4_10.txt	94	21.69	0.23	156.74	 0 0 0 155 200 184
Номер дефекта	Длина	Ширина	Площадь
0	0.47	0.38	0.03
1	0.57	0.47	0.09
2	1.33	0.47	0.12
4	0.38	0.28	0.05
5	0.95	0.47	0.11
6	0.57	0.47	0.09
7	0.57	0.57	0.11
8	0.57	0.38	0.06
9	0.38	0.57	0.06
10	0.85	0.38	0.04
11	1.23	0.95	0.12
12	0.47	0.66	0.03
13	0.66	0.66	0.07
14	0.85	0.38	0.07
15	0.66	0.38	0.03
16	0.47	0.47	0.03
17	0.85	0.47	0.05
18	0.47	0.47	0.08
19	0.76	0.38	0.03
20	1.04	0.66	0.08
21	0.47	0.76	0.05
22	0.38	0.47	0.06
23	0.95	0.76	0.15
24	1.14	0.57	0.04
25	0.76	0.76	0.10
26	0.76	0.57	0.11
27	0.85	0.57	0.04
28	1.61	0.76	0.23
29	1.33	1.04	0.19
30	0.47	0.85	0.05
31	1.61	0.85	0.22
32	1.14	0.47	0.08
33	0.95	0.76	0.15
34	0.76	0.47	0.05
35	0.57	0.47	0.07
36	1.23	0.95	0.16
37	0.57	0.57	0.06
38	0.47	0.57	0.05
39	2.47	1.14	0.36
40	0.95	1.33	0.27
41	1.33	1.04	0.21
42	1.33	0.95	0.26
43	2.75	0.95	0.27
44	1.52	0.76	0.12
45	0.57	0.47	0.07
46	0.95	1.04	0.10
47	1.33	1.14	0.30
48	0.85	1.61	0.28
49	1.04	0.85	0.20
50	0.95	1.23	0.05
51	0.76	0.57	0.05
52	0.76	0.57	0.05
53	1.52	1.04	0.52
54	1.61	1.14	0.33
55	1.14	0.95	0.13
56	2.09	1.14	0.41
57	0.76	0.66	0.11
58	1.52	1.23	0.40
59	1.52	1.14	0.48
60	3.80	1.33	1.09
61	2.85	1.42	0.85
62	1.04	1.33	0.23
63	2.56	1.42	1.16
64	1.33	0.85	0.48
65	0.47	0.38	0.03
66	1.52	2.18	0.54
67	1.71	1.42	0.68
68	1.90	1.61	0.51
69	1.52	1.14	0.39
70	1.04	0.85	0.05
71	0.57	0.38	0.05
72	0.47	0.38	0.04
73	1.80	1.33	0.50
74	1.04	1.61	0.29
75	2.37	1.80	0.59
76	0.38	0.38	0.03
77	0.57	0.57	0.06
78	0.66	0.66	0.11
79	1.99	1.71	0.56
80	1.14	0.95	0.17
81	0.95	1.04	0.13
82	3.13	2.37	1.81
83	0.76	0.47	0.06
84	0.95	0.66	0.19
85	0.66	0.38	0.03
86	0.38	0.38	0.05
87	0.57	0.28	0.04
88	4.74	0.19	0.07
89	2.66	0.19	0.07
90	24.48	0.38	1.44
91	6.83	0.28	0.23
92	0.95	0.28	0.05
93	16.13	0.28	0.88
94	4.93	0.38	0.08
